customer_id,total_revenue,total_transactions,customer_tenure_days,is_churned,customer_ltv,churn_probability,churn_risk_level,R_score,F_score,M_score,segment
CUST_000001,144628.01,49,1462,0,144628.01,0.0007121872612728,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000002,13688.27,49,1462,0,13688.27,0.001065856398226,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000003,1989.73,49,1462,0,1989.73,0.0034797657591531,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000004,20174.03,49,1462,0,20174.03,0.0022433535324455,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000005,748.56,3,1462,1,748.56,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000006,97080.35,49,1462,0,97080.35,0.0010411280916851,Low,2.0,5.0,5.0,At Risk
CUST_000007,4331.1,49,1462,0,4331.1,0.0026956621778994,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000008,1584.76,49,1462,0,1584.76,0.0042545389511157,Low,2.0,5.0,3.0,At Risk
CUST_000009,13267.99,49,1459,0,13267.99,0.0008217857288532,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000010,1887.87,49,1459,0,1887.87,0.0027861071019684,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000011,1881.04,49,1453,0,1881.04,0.0016183824628685,Low,4.0,5.0,3.0,Loyal Customers
CUST_000012,790.62,9,1452,1,790.62,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000013,42856.56,49,1448,0,42856.56,0.0008513281073623,Low,5.0,5.0,5.0,Champions
CUST_000014,12103.19,49,1443,0,12103.19,0.0001330950547607,Low,5.0,5.0,5.0,Champions
CUST_000015,2656.54,48,1440,0,2656.54,0.0030427933702853,Low,2.0,5.0,4.0,At Risk
CUST_000016,1250.42,13,1440,1,1250.42,1.0,High,1.0,4.0,3.0,At Risk
CUST_000017,21537.99,14,1436,1,21537.99,1.0,High,1.0,4.0,5.0,At Risk
CUST_000018,21317.16,48,1435,0,21317.16,0.0022969730732855,Low,2.0,5.0,5.0,At Risk
CUST_000019,2418.71,48,1433,0,2418.71,0.0029161927583765,Low,2.0,5.0,4.0,At Risk
CUST_000020,13887.66,48,1431,0,13887.66,0.0008132277633473,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000021,4424.32,25,1431,1,4424.32,1.0,High,1.0,5.0,4.0,At Risk
CUST_000022,14885.48,17,1428,1,14885.48,1.0,High,1.0,4.0,5.0,At Risk
CUST_000023,11342.08,48,1425,0,11342.08,0.0007466539551865,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000024,9116.24,48,1424,0,9116.24,0.0005778476462683,Low,4.0,5.0,5.0,Champions
CUST_000025,4497.23,48,1421,0,4497.23,0.0014575208255489,Low,4.0,5.0,4.0,Champions
CUST_000026,5096.02,8,1420,1,5096.02,1.0,High,1.0,3.0,5.0,At Risk
CUST_000027,43403.75,48,1414,0,43403.75,0.0006509818537618,Low,5.0,5.0,5.0,Champions
CUST_000028,4356.98,6,1413,1,4356.98,1.0,High,1.0,2.0,4.0,Hibernating
CUST_000029,3184.4,48,1412,0,3184.4,0.0011641909307744,Low,5.0,5.0,4.0,Champions
CUST_000030,3626.44,48,1412,0,3626.44,0.0015829547726257,Low,5.0,5.0,4.0,Champions
CUST_000031,4197.79,47,1410,0,4197.79,0.0069952339489277,Low,1.0,5.0,4.0,At Risk
CUST_000032,1671.08,47,1409,0,1671.08,0.0079770604228138,Low,2.0,5.0,3.0,At Risk
CUST_000033,6651.29,47,1405,0,6651.29,0.0058701269066737,Low,2.0,5.0,5.0,At Risk
CUST_000034,18076.61,47,1404,0,18076.61,0.0029721717055073,Low,2.0,5.0,5.0,At Risk
CUST_000035,8044.549999999999,7,1401,1,8044.549999999999,1.0,High,1.0,2.0,5.0,Hibernating
CUST_000036,1285.05,15,1401,1,1285.05,1.0,High,1.0,4.0,3.0,At Risk
CUST_000037,44183.51,47,1399,0,44183.51,0.0017048328540168,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000038,5190.01,47,1397,0,5190.01,0.0009364941240561,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000039,2521.42,47,1396,0,2521.42,0.0022775310413295,Low,4.0,5.0,4.0,Champions
CUST_000040,4302.07,47,1396,0,4302.07,0.002288626414368,Low,4.0,5.0,4.0,Champions
CUST_000041,6734.45,47,1395,0,6734.45,0.0029481421181918,Low,1.0,5.0,5.0,At Risk
CUST_000042,368.34,4,1395,1,368.34,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000043,3852.55,47,1394,0,3852.55,0.0110373410261539,Low,4.0,5.0,4.0,Champions
CUST_000044,5221.13,47,1392,0,5221.13,0.0002691363382757,Low,4.0,5.0,5.0,Champions
CUST_000045,11434.43,47,1392,0,11434.43,0.0013784631693065,Low,4.0,5.0,5.0,Champions
CUST_000046,11335.16,47,1388,0,11335.16,0.000343981028301,Low,4.0,5.0,5.0,Champions
CUST_000047,4958.89,25,1384,1,4958.89,1.0,High,1.0,5.0,5.0,At Risk
CUST_000048,4257.7,15,1384,1,4257.7,1.0,High,1.0,4.0,4.0,At Risk
CUST_000049,3065.34,20,1377,1,3065.34,1.0,High,1.0,4.0,4.0,At Risk
CUST_000050,2866.47,46,1376,0,2866.47,0.004418976366172,Low,2.0,5.0,4.0,At Risk
CUST_000051,9503.23,46,1374,0,9503.23,0.0027676366682836,Low,1.0,5.0,5.0,At Risk
CUST_000052,1325.83,7,1374,1,1325.83,1.0,High,1.0,2.0,3.0,Hibernating
CUST_000053,2183.29,46,1373,0,2183.29,0.0156932905926612,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000054,22383.36,46,1373,0,22383.36,0.0021076917956543,Low,2.0,5.0,5.0,At Risk
CUST_000055,2754.59,46,1372,0,2754.59,0.002596067800602,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000056,3921.29,46,1371,0,3921.29,0.0077824966848255,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000057,8563.119999999999,12,1371,1,8563.119999999999,1.0,High,1.0,3.0,5.0,At Risk
CUST_000058,4387.18,8,1369,1,4387.18,1.0,High,1.0,2.0,4.0,Hibernating
CUST_000059,2139.48,46,1369,0,2139.48,0.013527818432419,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000060,6749.02,46,1358,0,6749.02,0.0006174443587693,Low,4.0,5.0,5.0,Champions
CUST_000061,9397.63,13,1353,1,9397.63,1.0,High,1.0,3.0,5.0,At Risk
CUST_000062,3190.41,46,1353,0,3190.41,0.0005296227091388,Low,5.0,5.0,4.0,Champions
CUST_000063,9840.91,46,1352,0,9840.91,0.000416152174227,Low,5.0,5.0,5.0,Champions
CUST_000064,1943.92,3,1352,1,1943.92,1.0,High,1.0,2.0,4.0,Hibernating
CUST_000065,5130.97,45,1350,0,5130.97,0.0052870968634114,Low,1.0,5.0,5.0,At Risk
CUST_000066,866.44,13,1350,1,866.44,1.0,High,1.0,4.0,2.0,At Risk
CUST_000067,3063.37,45,1347,0,3063.37,0.0100293097339155,Low,2.0,5.0,4.0,At Risk
CUST_000068,3918.84,45,1345,0,3918.84,0.0061726515606906,Low,2.0,5.0,4.0,At Risk
CUST_000069,9816.11,45,1340,0,9816.11,0.0005617993110514,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000070,8771.17,6,1339,1,8771.17,1.0,High,1.0,2.0,5.0,Hibernating
CUST_000071,2396.73,45,1338,0,2396.73,0.0007874762799587,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000072,2426.05,45,1337,0,2426.05,0.0021819863475423,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000073,3764.93,45,1337,0,3764.93,0.0028464615033401,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000074,5639.48,45,1336,0,5639.48,0.0008686763834413,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000075,391.94,6,1335,1,391.94,1.0,High,1.0,2.0,1.0,Hibernating
CUST_000076,3906.79,45,1331,0,3906.79,0.0018820260565011,Low,4.0,5.0,4.0,Champions
CUST_000077,2648.03,11,1327,1,2648.03,1.0,High,1.0,3.0,4.0,At Risk
CUST_000078,3366.3,45,1327,0,3366.3,0.0004090835597612,Low,5.0,5.0,4.0,Champions
CUST_000079,6884.36,20,1326,1,6884.36,1.0,High,1.0,4.0,5.0,At Risk
CUST_000080,305.03,3,1326,1,305.03,1.0,High,1.0,1.0,1.0,Hibernating
CUST_000081,5020.15,45,1323,0,5020.15,0.0001346185738395,Low,5.0,5.0,5.0,Champions
CUST_000082,12169.64,44,1318,0,12169.64,0.0025935688282359,Low,2.0,5.0,5.0,At Risk
CUST_000083,42288.55,44,1317,0,42288.55,0.0036927886170105,Low,2.0,5.0,5.0,At Risk
CUST_000084,2404.37,44,1316,0,2404.37,0.0038375526053483,Low,2.0,5.0,4.0,At Risk
CUST_000085,8704.62,44,1315,0,8704.62,0.0024047417016346,Low,2.0,5.0,5.0,At Risk
CUST_000086,3510.23,44,1311,0,3510.23,0.0027594898777226,Low,1.0,5.0,4.0,At Risk
CUST_000087,2179.29,44,1310,0,2179.29,0.0030816274751405,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000088,3843.85,44,1308,0,3843.85,0.0062804362882973,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000089,2084.31,44,1308,0,2084.31,0.0066435066265987,Low,1.0,5.0,4.0,At Risk
CUST_000090,1250.15,21,1307,1,1250.15,1.0,High,1.0,4.0,3.0,At Risk
