customer_id,signup_date,country,industry,subscription_type,monthly_fee,signup_date_key
CUST_000001,2021-01-01,UK,Finance,Premium,2901.34,20210101
CUST_000002,2021-01-01,Canada,Education,Professional,288.53,20210101
CUST_000003,2021-01-01,USA,Real Estate,Basic,42.44,20210101
CUST_000004,2021-01-01,USA,Finance,Enterprise,407.46,20210101
CUST_000005,2021-01-01,France,Manufacturing,Professional,267.89,20210101
CUST_000006,2021-01-01,USA,Healthcare,Premium,2014.38,20210101
CUST_000007,2021-01-01,Japan,Energy,Basic,87.46,20210101
CUST_000008,2021-01-01,USA,Energy,Basic,31.64,20210101
CUST_000009,2021-01-04,UK,Education,Professional,274.28,20210104
CUST_000010,2021-01-04,UK,Consulting,Basic,38.17,20210104
CUST_000011,2021-01-10,France,Media,Basic,39.8,20210110
CUST_000012,2021-01-11,USA,Finance,Basic,87.19,20210111
CUST_000013,2021-01-15,Germany,Consulting,Enterprise,865.33,20210115
CUST_000014,2021-01-20,USA,Finance,Professional,243.24,20210120
CUST_000015,2021-01-23,France,Technology,Basic,57.76,20210123
CUST_000016,2021-01-23,France,Retail,Basic,96.87,20210123
CUST_000017,2021-01-27,USA,Consulting,Premium,1568.86,20210127
CUST_000018,2021-01-28,India,Real Estate,Enterprise,462.8,20210128
CUST_000019,2021-01-30,UK,Retail,Basic,50.66,20210130
CUST_000020,2021-02-01,Canada,Real Estate,Professional,279.79,20210201
CUST_000021,2021-02-01,USA,Retail,Professional,172.57,20210201
CUST_000022,2021-02-04,USA,Consulting,Enterprise,988.11,20210204
CUST_000023,2021-02-07,USA,Real Estate,Professional,252.89,20210207
CUST_000024,2021-02-08,UK,Media,Professional,199.58,20210208
CUST_000025,2021-02-11,Germany,Media,Basic,96.64,20210211
CUST_000026,2021-02-12,India,Retail,Enterprise,859.88,20210212
CUST_000027,2021-02-18,India,Finance,Enterprise,910.1,20210218
CUST_000028,2021-02-19,France,Technology,Enterprise,747.83,20210219
CUST_000029,2021-02-20,USA,Education,Basic,67.82,20210220
CUST_000030,2021-02-20,USA,Healthcare,Basic,78.8,20210220
CUST_000031,2021-02-22,UK,Energy,Basic,88.58,20210222
CUST_000032,2021-02-23,Japan,Manufacturing,Basic,34.87,20210223
CUST_000033,2021-02-27,USA,Finance,Professional,153.56,20210227
CUST_000034,2021-02-28,USA,Energy,Enterprise,402.14,20210228
CUST_000035,2021-03-03,USA,Media,Premium,1182.43,20210303
CUST_000036,2021-03-03,Australia,Retail,Basic,86.17,20210303
CUST_000037,2021-03-05,USA,Education,Enterprise,950.33,20210305
CUST_000038,2021-03-07,Canada,Media,Professional,109.65,20210307
CUST_000039,2021-03-08,Australia,Energy,Basic,55.18,20210308
CUST_000040,2021-03-08,UK,Media,Basic,98.62,20210308
CUST_000041,2021-03-09,Japan,Education,Professional,143.91,20210309
CUST_000042,2021-03-09,UK,Education,Basic,94.16,20210309
CUST_000043,2021-03-10,UK,Education,Basic,84.4,20210310
CUST_000044,2021-03-12,Canada,Finance,Professional,106.66,20210312
CUST_000045,2021-03-12,Brazil,Real Estate,Professional,238.21,20210312
CUST_000046,2021-03-16,USA,Finance,Professional,250.77,20210316
CUST_000047,2021-03-20,Australia,Real Estate,Professional,188.72,20210320
CUST_000048,2021-03-20,Australia,Technology,Professional,280.17,20210320
CUST_000049,2021-03-27,Germany,Technology,Professional,150.18,20210327
CUST_000050,2021-03-28,USA,Finance,Basic,67.42,20210328
CUST_000051,2021-03-30,USA,Consulting,Professional,204.55,20210330
CUST_000052,2021-03-30,UK,Healthcare,Professional,254.23,20210330
CUST_000053,2021-03-31,Brazil,Retail,Basic,50.08,20210331
CUST_000054,2021-03-31,UK,Technology,Enterprise,465.91,20210331
CUST_000055,2021-04-01,USA,Consulting,Basic,61.0,20210401
CUST_000056,2021-04-02,USA,Healthcare,Basic,87.57,20210402
CUST_000057,2021-04-02,Brazil,Real Estate,Enterprise,716.72,20210402
CUST_000058,2021-04-04,France,Technology,Enterprise,741.37,20210404
CUST_000059,2021-04-04,Australia,Consulting,Basic,45.94,20210404
CUST_000060,2021-04-15,Brazil,Finance,Professional,157.25,20210415
CUST_000061,2021-04-20,Australia,Technology,Enterprise,729.37,20210420
CUST_000062,2021-04-20,UK,Retail,Basic,68.95,20210420
CUST_000063,2021-04-21,USA,Finance,Professional,231.87,20210421
CUST_000064,2021-04-21,Australia,Healthcare,Enterprise,665.44,20210421
CUST_000065,2021-04-23,USA,Education,Professional,112.54,20210423
CUST_000066,2021-04-23,UK,Energy,Basic,67.09,20210423
CUST_000067,2021-04-26,USA,Energy,Basic,67.79,20210426
CUST_000068,2021-04-28,India,Media,Basic,90.13,20210428
CUST_000069,2021-05-03,Germany,Technology,Professional,226.13,20210503
CUST_000070,2021-05-04,UK,Education,Premium,1506.3,20210504
CUST_000071,2021-05-05,India,Technology,Basic,54.0,20210505
CUST_000072,2021-05-06,Germany,Healthcare,Basic,53.14,20210506
CUST_000073,2021-05-06,USA,Healthcare,Basic,83.01,20210506
CUST_000074,2021-05-07,France,Education,Professional,125.68,20210507
CUST_000075,2021-05-08,USA,Education,Basic,67.22,20210508
CUST_000076,2021-05-12,Brazil,Finance,Basic,87.13,20210512
CUST_000077,2021-05-16,USA,Real Estate,Professional,295.16,20210516
CUST_000078,2021-05-16,Singapore,Real Estate,Basic,73.22,20210516
CUST_000079,2021-05-17,Canada,Finance,Enterprise,343.17,20210517
CUST_000080,2021-05-17,USA,Real Estate,Professional,106.4,20210517
CUST_000081,2021-05-20,UK,Retail,Professional,107.76,20210520
CUST_000082,2021-05-25,France,Retail,Professional,276.16,20210525
CUST_000083,2021-05-26,USA,Education,Enterprise,952.36,20210526
CUST_000084,2021-05-27,UK,Energy,Basic,56.88,20210527
CUST_000085,2021-05-28,USA,Energy,Professional,193.68,20210528
CUST_000086,2021-06-01,Canada,Technology,Basic,81.73,20210601
CUST_000087,2021-06-02,Germany,Retail,Basic,49.03,20210602
CUST_000088,2021-06-04,France,Technology,Basic,89.61,20210604
CUST_000089,2021-06-04,Canada,Education,Basic,48.13,20210604
CUST_000090,2021-06-05,India,Education,Basic,59.59,20210605
CUST_000091,2021-06-05,UK,Media,Basic,81.03,20210605
CUST_000092,2021-06-07,Brazil,Media,Enterprise,536.33,20210607
CUST_000093,2021-06-08,USA,Finance,Professional,198.24,20210608
