transaction_id,customer_id,date_key,amount,payment_method,transaction_status,is_successful
TXN_00000001,CUST_000001,20210101,2626.32,Credit Card,Completed,1
TXN_00000002,CUST_000001,20210202,2601.98,Bank Transfer,Completed,1
TXN_00000003,CUST_000001,20210303,2894.99,Credit Card,Completed,1
TXN_00000004,CUST_000001,20210403,2886.47,PayPal,Completed,1
TXN_00000005,CUST_000001,20210430,2950.56,Credit Card,Completed,1
TXN_00000006,CUST_000001,20210530,2862.03,ACH,Completed,1
TXN_00000007,CUST_000001,20210630,3389.78,Credit Card,Completed,1
TXN_00000008,CUST_000001,20210801,3996.96,PayPal,Completed,1
TXN_00000009,CUST_000001,20210831,2808.71,Bank Transfer,Completed,1
TXN_00000010,CUST_000001,20210929,2920.71,Bank Transfer,Completed,1
TXN_00000011,CUST_000001,20211029,2947.78,Bank Transfer,Completed,1
TXN_00000012,CUST_000001,20211127,3317.51,Bank Transfer,Completed,1
TXN_00000013,CUST_000001,20211228,3295.93,PayPal,Completed,1
TXN_00000014,CUST_000001,20220125,2579.29,Bank Transfer,Completed,1
TXN_00000015,CUST_000001,20220225,2633.76,Credit Card,Failed,0
TXN_00000016,CUST_000001,20220328,2884.09,PayPal,Completed,1
TXN_00000017,CUST_000001,20220425,2936.58,PayPal,Completed,1
TXN_00000018,CUST_000001,20220526,2940.28,Credit Card,Completed,1
TXN_00000019,CUST_000001,20220626,2708.44,PayPal,Completed,1
TXN_00000020,CUST_000001,20220725,2720.43,Bank Transfer,Completed,1
TXN_00000021,CUST_000001,20220822,3951.34,PayPal,Completed,1
TXN_00000022,CUST_000001,20220923,2935.14,Credit Card,Completed,1
TXN_00000023,CUST_000001,20221021,2891.73,Bank Transfer,Completed,1
TXN_00000024,CUST_000001,20221120,3349.74,Credit Card,Completed,1
TXN_00000025,CUST_000001,20221223,3319.62,Credit Card,Completed,1
TXN_00000026,CUST_000001,20230121,2650.72,Credit Card,Completed,1
TXN_00000027,CUST_000001,20230218,2564.07,Bank Transfer,Completed,1
TXN_00000028,CUST_000001,20230322,2912.8,Credit Card,Completed,1
TXN_00000029,CUST_000001,20230423,2922.86,Credit Card,Completed,1
TXN_00000030,CUST_000001,20230523,2875.97,Credit Card,Completed,1
TXN_00000031,CUST_000001,20230622,2725.53,PayPal,Completed,1
TXN_00000032,CUST_000001,20230719,2779.71,PayPal,Completed,1
TXN_00000033,CUST_000001,20230821,2802.95,Credit Card,Completed,1
TXN_00000034,CUST_000001,20230917,2904.02,Credit Card,Completed,1
TXN_00000035,CUST_000001,20231016,2942.75,Credit Card,Completed,1
TXN_00000036,CUST_000001,20231119,3280.18,PayPal,Completed,1
TXN_00000037,CUST_000001,20231215,3348.98,Wire Transfer,Completed,1
TXN_00000038,CUST_000001,20240114,2640.7,Credit Card,Completed,1
TXN_00000039,CUST_000001,20240217,2574.19,Credit Card,Completed,1
TXN_00000040,CUST_000001,20240315,2871.38,Credit Card,Pending,0
TXN_00000041,CUST_000001,20240413,2926.39,Credit Card,Pending,0
TXN_00000042,CUST_000001,20240513,2950.57,PayPal,Completed,1
TXN_00000043,CUST_000001,20240614,2721.09,Credit Card,Completed,1
TXN_00000044,CUST_000001,20240712,2714.78,Credit Card,Completed,1
TXN_00000045,CUST_000001,20240814,2710.22,Credit Card,Completed,1
TXN_00000046,CUST_000001,20240913,2869.53,ACH,Completed,1
TXN_00000047,CUST_000001,20241014,2952.3,Credit Card,Completed,1
TXN_00000048,CUST_000001,20241110,3357.7,Credit Card,Completed,1
TXN_00000049,CUST_000001,20241212,3278.45,Credit Card,Completed,1
TXN_00000050,CUST_000002,20210102,257.38,Bank Transfer,Completed,1
TXN_00000051,CUST_000002,20210201,258.18,ACH,Completed,1
TXN_00000052,CUST_000002,20210228,284.01,Credit Card,Completed,1
TXN_00000053,CUST_000002,20210401,292.34,Credit Card,Completed,1
TXN_00000054,CUST_000002,20210430,289.94,Credit Card,Completed,1
TXN_00000055,CUST_000002,20210529,286.15,Bank Transfer,Completed,1
TXN_00000056,CUST_000002,20210701,355.02,Wire Transfer,Completed,1
TXN_00000057,CUST_000002,20210731,269.02,Bank Transfer,Completed,1
TXN_00000058,CUST_000002,20210831,270.1,Credit Card,Completed,1
TXN_00000059,CUST_000002,20210929,289.36,PayPal,Completed,1
TXN_00000060,CUST_000002,20211028,289.88,ACH,Completed,1
TXN_00000061,CUST_000002,20211127,329.8,Credit Card,Completed,1
TXN_00000062,CUST_000002,20211225,338.34,Credit Card,Completed,1
TXN_00000063,CUST_000002,20220126,263.94,Credit Card,Pending,0
TXN_00000064,CUST_000002,20220226,254.87,Credit Card,Completed,1
TXN_00000065,CUST_000002,20220325,289.55,Credit Card,Completed,1
TXN_00000066,CUST_000002,20220426,290.73,Credit Card,Completed,1
TXN_00000067,CUST_000002,20220528,286.95,Credit Card,Completed,1
TXN_00000068,CUST_000002,20220623,270.97,Credit Card,Completed,1
TXN_00000069,CUST_000002,20220726,276.49,Bank Transfer,Completed,1
TXN_00000070,CUST_000002,20220826,270.92,Bank Transfer,Completed,1
TXN_00000071,CUST_000002,20220921,286.38,Credit Card,Completed,1
TXN_00000072,CUST_000002,20221024,290.01,Credit Card,Completed,1
TXN_00000073,CUST_000002,20221120,328.73,PayPal,Completed,1
TXN_00000074,CUST_000002,20221223,332.11,Credit Card,Completed,1
TXN_00000075,CUST_000002,20230121,258.74,Wire Transfer,Completed,1
TXN_00000076,CUST_000002,20230219,261.19,Bank Transfer,Completed,1
TXN_00000077,CUST_000002,20230321,291.96,Credit Card,Completed,1
TXN_00000078,CUST_000002,20230419,284.6,Credit Card,Completed,1
TXN_00000079,CUST_000002,20230519,293.88,Credit Card,Completed,1
TXN_00000080,CUST_000002,20230619,278.5,Credit Card,Completed,1
TXN_00000081,CUST_000002,20230722,271.21,Bank Transfer,Completed,1
TXN_00000082,CUST_000002,20230821,271.38,Credit Card,Completed,1
TXN_00000083,CUST_000002,20230917,291.27,Bank Transfer,Completed,1
TXN_00000084,CUST_000002,20231016,293.95,Credit Card,Completed,1
TXN_00000085,CUST_000002,20231117,329.37,Bank Transfer,Completed,1
TXN_00000086,CUST_000002,20231215,331.48,Credit Card,Completed,1
TXN_00000087,CUST_000002,20240116,261.66,Credit Card,Completed,1
TXN_00000088,CUST_000002,20240216,-263.86,Bank Transfer,Refunded,0
TXN_00000089,CUST_000002,20240315,293.46,Credit Card,Completed,1
TXN_00000090,CUST_000002,20240413,293.33,PayPal,Completed,1
TXN_00000091,CUST_000002,20240513,292.26,Credit Card,Completed,1
