customer_id,signup_date,country,industry,subscription_type,monthly_fee
CUST_000001,2021-01-01,UK,Finance,Premium,2901.34
CUST_000002,2021-01-01,Canada,Education,Professional,288.53
CUST_000003,2021-01-01,USA,Real Estate,Basic,42.44
CUST_000004,2021-01-01,USA,Finance,Enterprise,407.46
CUST_000005,2021-01-01,France,Manufacturing,Professional,267.89
CUST_000006,2021-01-01,USA,Healthcare,Premium,2014.38
CUST_000007,2021-01-01,Japan,Energy,Basic,87.46
CUST_000008,2021-01-01,USA,Energy,Basic,31.64
CUST_000009,2021-01-04,UK,Education,Professional,274.28
CUST_000010,2021-01-04,UK,Consulting,Basic,38.17
CUST_000011,2021-01-10,France,Media,Basic,39.8
CUST_000012,2021-01-11,USA,Finance,Basic,87.19
CUST_000013,2021-01-15,Germany,Consulting,Enterprise,865.33
CUST_000014,2021-01-20,USA,Finance,Professional,243.24
CUST_000015,2021-01-23,France,Technology,Basic,57.76
CUST_000016,2021-01-23,France,Retail,Basic,96.87
CUST_000017,2021-01-27,USA,Consulting,Premium,1568.86
CUST_000018,2021-01-28,India,Real Estate,Enterprise,462.8
CUST_000019,2021-01-30,UK,Retail,Basic,50.66
CUST_000020,2021-02-01,Canada,Real Estate,Professional,279.79
CUST_000021,2021-02-01,USA,Retail,Professional,172.57
CUST_000022,2021-02-04,USA,Consulting,Enterprise,988.11
CUST_000023,2021-02-07,USA,Real Estate,Professional,252.89
CUST_000024,2021-02-08,UK,Media,Professional,199.58
CUST_000025,2021-02-11,Germany,Media,Basic,96.64
CUST_000026,2021-02-12,India,Retail,Enterprise,859.88
CUST_000027,2021-02-18,India,Finance,Enterprise,910.1
CUST_000028,2021-02-19,France,Technology,Enterprise,747.83
CUST_000029,2021-02-20,USA,Education,Basic,67.82
CUST_000030,2021-02-20,USA,Healthcare,Basic,78.8
CUST_000031,2021-02-22,UK,Energy,Basic,88.58
CUST_000032,2021-02-23,Japan,Manufacturing,Basic,34.87
CUST_000033,2021-02-27,USA,Finance,Professional,153.56
CUST_000034,2021-02-28,USA,Energy,Enterprise,402.14
CUST_000035,2021-03-03,USA,Media,Premium,1182.43
CUST_000036,2021-03-03,Australia,Retail,Basic,86.17
CUST_000037,2021-03-05,USA,Education,Enterprise,950.33
CUST_000038,2021-03-07,Canada,Media,Professional,109.65
CUST_000039,2021-03-08,Australia,Energy,Basic,55.18
CUST_000040,2021-03-08,UK,Media,Basic,98.62
CUST_000041,2021-03-09,Japan,Education,Professional,143.91
CUST_000042,2021-03-09,UK,Education,Basic,94.16
CUST_000043,2021-03-10,UK,Education,Basic,84.4
CUST_000044,2021-03-12,Canada,Finance,Professional,106.66
CUST_000045,2021-03-12,Brazil,Real Estate,Professional,238.21
CUST_000046,2021-03-16,USA,Finance,Professional,250.77
CUST_000047,2021-03-20,Australia,Real Estate,Professional,188.72
CUST_000048,2021-03-20,Australia,Technology,Professional,280.17
CUST_000049,2021-03-27,Germany,Technology,Professional,150.18
CUST_000050,2021-03-28,USA,Finance,Basic,67.42
CUST_000051,2021-03-30,USA,Consulting,Professional,204.55
CUST_000052,2021-03-30,UK,Healthcare,Professional,254.23
CUST_000053,2021-03-31,Brazil,Retail,Basic,50.08
CUST_000054,2021-03-31,UK,Technology,Enterprise,465.91
CUST_000055,2021-04-01,USA,Consulting,Basic,61.0
CUST_000056,2021-04-02,USA,Healthcare,Basic,87.57
CUST_000057,2021-04-02,Brazil,Real Estate,Enterprise,716.72
CUST_000058,2021-04-04,France,Technology,Enterprise,741.37
CUST_000059,2021-04-04,Australia,Consulting,Basic,45.94
CUST_000060,2021-04-15,Brazil,Finance,Professional,157.25
CUST_000061,2021-04-20,Australia,Technology,Enterprise,729.37
CUST_000062,2021-04-20,UK,Retail,Basic,68.95
CUST_000063,2021-04-21,USA,Finance,Professional,231.87
CUST_000064,2021-04-21,Australia,Healthcare,Enterprise,665.44
CUST_000065,2021-04-23,USA,Education,Professional,112.54
CUST_000066,2021-04-23,UK,Energy,Basic,67.09
CUST_000067,2021-04-26,USA,Energy,Basic,67.79
CUST_000068,2021-04-28,India,Media,Basic,90.13
CUST_000069,2021-05-03,Germany,Technology,Professional,226.13
CUST_000070,2021-05-04,UK,Education,Premium,1506.3
CUST_000071,2021-05-05,India,Technology,Basic,54.0
CUST_000072,2021-05-06,Germany,Healthcare,Basic,53.14
CUST_000073,2021-05-06,USA,Healthcare,Basic,83.01
CUST_000074,2021-05-07,France,Education,Professional,125.68
CUST_000075,2021-05-08,USA,Education,Basic,67.22
CUST_000076,2021-05-12,Brazil,Finance,Basic,87.13
CUST_000077,2021-05-16,USA,Real Estate,Professional,295.16
CUST_000078,2021-05-16,Singapore,Real Estate,Basic,73.22
CUST_000079,2021-05-17,Canada,Finance,Enterprise,343.17
CUST_000080,2021-05-17,USA,Real Estate,Professional,106.4
CUST_000081,2021-05-20,UK,Retail,Professional,107.76
CUST_000082,2021-05-25,France,Retail,Professional,276.16
CUST_000083,2021-05-26,USA,Education,Enterprise,952.36
CUST_000084,2021-05-27,UK,Energy,Basic,56.88
CUST_000085,2021-05-28,USA,Energy,Professional,193.68
CUST_000086,2021-06-01,Canada,Technology,Basic,81.73
CUST_000087,2021-06-02,Germany,Retail,Basic,49.03
CUST_000088,2021-06-04,France,Technology,Basic,89.61
CUST_000089,2021-06-04,Canada,Education,Basic,48.13
CUST_000090,2021-06-05,India,Education,Basic,59.59
CUST_000091,2021-06-05,UK,Media,Basic,81.03
CUST_000092,2021-06-07,Brazil,Media,Enterprise,536.33
CUST_000093,2021-06-08,USA,Finance,Professional,198.24
CUST_000094,2021-06-09,Australia,Real Estate,Professional,172.47
CUST_000095,2021-06-11,Germany,Energy,Basic,47.67
CUST_000096,2021-06-12,USA,Healthcare,Enterprise,807.96
CUST_000097,2021-06-12,Brazil,Healthcare,Professional,185.12
CUST_000098,2021-06-14,UK,Finance,Basic,67.18
CUST_000099,2021-06-18,Canada,Education,Enterprise,370.82
CUST_000100,2021-06-22,Brazil,Education,Enterprise,761.64
CUST_000101,2021-06-24,France,Manufacturing,Basic,60.21
CUST_000102,2021-06-24,USA,Media,Enterprise,415.65
CUST_000103,2021-06-28,France,Real Estate,Basic,53.61
CUST_000104,2021-06-28,USA,Technology,Professional,244.36
CUST_000105,2021-07-05,USA,Education,Basic,72.04
CUST_000106,2021-07-06,Germany,Media,Professional,153.91
CUST_000107,2021-07-06,France,Technology,Basic,34.25
CUST_000108,2021-07-10,Canada,Media,Basic,54.43
CUST_000109,2021-07-11,UK,Finance,Professional,289.56
CUST_000110,2021-07-11,France,Finance,Enterprise,893.07
CUST_000111,2021-07-12,France,Real Estate,Professional,105.96
CUST_000112,2021-07-12,USA,Healthcare,Basic,45.52
CUST_000113,2021-07-13,USA,Education,Basic,54.35
CUST_000114,2021-07-13,Singapore,Consulting,Basic,31.27
CUST_000115,2021-07-13,Brazil,Finance,Professional,234.81
CUST_000116,2021-07-14,Australia,Education,Professional,173.4
CUST_000117,2021-07-15,France,Healthcare,Professional,213.78
CUST_000118,2021-07-16,USA,Energy,Professional,172.39
CUST_000119,2021-07-20,USA,Education,Basic,74.47
CUST_000120,2021-07-22,France,Retail,Basic,96.24
CUST_000121,2021-07-23,India,Technology,Premium,2470.35
CUST_000122,2021-07-27,Brazil,Real Estate,Basic,65.24
CUST_000123,2021-07-27,USA,Energy,Enterprise,381.43
CUST_000124,2021-07-31,UK,Manufacturing,Premium,2407.08
CUST_000125,2021-08-01,India,Retail,Enterprise,996.46
CUST_000126,2021-08-03,USA,Manufacturing,Basic,77.58
CUST_000127,2021-08-04,Japan,Real Estate,Basic,43.01
CUST_000128,2021-08-04,USA,Finance,Professional,269.57
CUST_000129,2021-08-07,India,Real Estate,Professional,133.53
CUST_000130,2021-08-10,France,Real Estate,Basic,98.81
CUST_000131,2021-08-11,France,Education,Premium,2334.68
CUST_000132,2021-08-14,USA,Healthcare,Professional,209.0
CUST_000133,2021-08-19,Japan,Manufacturing,Professional,277.27
CUST_000134,2021-08-19,Canada,Finance,Professional,241.36
CUST_000135,2021-08-22,UK,Finance,Basic,84.56
CUST_000136,2021-08-22,Australia,Energy,Enterprise,455.97
CUST_000137,2021-08-23,Japan,Retail,Enterprise,853.45
CUST_000138,2021-08-24,Germany,Retail,Professional,257.07
CUST_000139,2021-08-24,Australia,Technology,Professional,171.18
CUST_000140,2021-08-30,Canada,Consulting,Enterprise,557.24
CUST_000141,2021-08-31,Brazil,Energy,Basic,38.08
CUST_000142,2021-08-31,UK,Healthcare,Basic,33.6
CUST_000143,2021-08-31,France,Media,Basic,98.97
CUST_000144,2021-09-02,Germany,Real Estate,Professional,204.14
CUST_000145,2021-09-02,USA,Media,Professional,263.67
CUST_000146,2021-09-04,USA,Healthcare,Basic,37.77
CUST_000147,2021-09-09,Japan,Education,Basic,73.96
CUST_000148,2021-09-10,USA,Real Estate,Professional,192.17
CUST_000149,2021-09-12,Australia,Energy,Basic,53.12
CUST_000150,2021-09-12,France,Energy,Basic,73.79
CUST_000151,2021-09-15,USA,Finance,Professional,252.56
CUST_000152,2021-09-16,Germany,Finance,Professional,185.52
CUST_000153,2021-09-17,Canada,Technology,Premium,2661.78
CUST_000154,2021-09-18,Germany,Energy,Basic,39.71
CUST_000155,2021-09-19,Australia,Finance,Basic,40.34
CUST_000156,2021-09-20,UK,Retail,Basic,53.22
CUST_000157,2021-09-21,USA,Energy,Premium,2788.85
CUST_000158,2021-09-22,Japan,Healthcare,Professional,149.12
CUST_000159,2021-09-24,UK,Energy,Basic,48.21
CUST_000160,2021-09-24,USA,Manufacturing,Basic,72.01
CUST_000161,2021-09-25,Germany,Healthcare,Professional,199.51
CUST_000162,2021-09-25,France,Finance,Basic,70.43
CUST_000163,2021-09-27,India,Consulting,Professional,129.84
CUST_000164,2021-09-27,Germany,Consulting,Professional,243.13
CUST_000165,2021-09-28,UK,Consulting,Basic,52.63
CUST_000166,2021-10-02,UK,Consulting,Enterprise,327.84
CUST_000167,2021-10-02,USA,Technology,Basic,34.69
CUST_000168,2021-10-03,USA,Consulting,Basic,47.53
CUST_000169,2021-10-03,Japan,Retail,Professional,252.39
CUST_000170,2021-10-05,Germany,Media,Basic,72.27
CUST_000171,2021-10-06,Germany,Technology,Professional,198.61
CUST_000172,2021-10-07,USA,Energy,Professional,156.93
CUST_000173,2021-10-10,UK,Manufacturing,Professional,195.59
CUST_000174,2021-10-11,France,Media,Basic,49.82
CUST_000175,2021-10-11,UK,Healthcare,Professional,236.72
CUST_000176,2021-10-14,Germany,Finance,Enterprise,606.72
CUST_000177,2021-10-23,France,Real Estate,Basic,61.51
