transaction_id,customer_id,transaction_date,amount,payment_method,transaction_status
TXN_00000001,CUST_000001,2021-01-01,2626.32,Credit Card,Completed
TXN_00000002,CUST_000001,2021-02-02,2601.98,Bank Transfer,Completed
TXN_00000003,CUST_000001,2021-03-03,2894.99,Credit Card,Completed
TXN_00000004,CUST_000001,2021-04-03,2886.47,PayPal,Completed
TXN_00000005,CUST_000001,2021-04-30,2950.56,Credit Card,Completed
TXN_00000006,CUST_000001,2021-05-30,2862.03,ACH,Completed
TXN_00000007,CUST_000001,2021-06-30,3389.78,Credit Card,Completed
TXN_00000008,CUST_000001,2021-08-01,3996.96,PayPal,Completed
TXN_00000009,CUST_000001,2021-08-31,2808.71,Bank Transfer,Completed
TXN_00000010,CUST_000001,2021-09-29,2920.71,Bank Transfer,Completed
TXN_00000011,CUST_000001,2021-10-29,2947.78,Bank Transfer,Completed
TXN_00000012,CUST_000001,2021-11-27,3317.51,Bank Transfer,Completed
TXN_00000013,CUST_000001,2021-12-28,3295.93,PayPal,Completed
TXN_00000014,CUST_000001,2022-01-25,2579.29,Bank Transfer,Completed
TXN_00000015,CUST_000001,2022-02-25,2633.76,Credit Card,Failed
TXN_00000016,CUST_000001,2022-03-28,2884.09,PayPal,Completed
TXN_00000017,CUST_000001,2022-04-25,2936.58,PayPal,Completed
TXN_00000018,CUST_000001,2022-05-26,2940.28,Credit Card,Completed
TXN_00000019,CUST_000001,2022-06-26,2708.44,PayPal,Completed
TXN_00000020,CUST_000001,2022-07-25,2720.43,Bank Transfer,Completed
TXN_00000021,CUST_000001,2022-08-22,3951.34,PayPal,Completed
TXN_00000022,CUST_000001,2022-09-23,2935.14,Credit Card,Completed
TXN_00000023,CUST_000001,2022-10-21,2891.73,Bank Transfer,Completed
TXN_00000024,CUST_000001,2022-11-20,3349.74,Credit Card,Completed
TXN_00000025,CUST_000001,2022-12-23,3319.62,Credit Card,Completed
TXN_00000026,CUST_000001,2023-01-21,2650.72,Credit Card,Completed
TXN_00000027,CUST_000001,2023-02-18,2564.07,Bank Transfer,Completed
TXN_00000028,CUST_000001,2023-03-22,2912.8,Credit Card,Completed
TXN_00000029,CUST_000001,2023-04-23,2922.86,Credit Card,Completed
TXN_00000030,CUST_000001,2023-05-23,2875.97,Credit Card,Completed
TXN_00000031,CUST_000001,2023-06-22,2725.53,PayPal,Completed
TXN_00000032,CUST_000001,2023-07-19,2779.71,PayPal,Completed
TXN_00000033,CUST_000001,2023-08-21,2802.95,Credit Card,Completed
TXN_00000034,CUST_000001,2023-09-17,2904.02,Credit Card,Completed
TXN_00000035,CUST_000001,2023-10-16,2942.75,Credit Card,Completed
TXN_00000036,CUST_000001,2023-11-19,3280.18,PayPal,Completed
