customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segment,country,industry,subscription_type
CUST_000001,21,46,136196.48,3,5,5,355,13,Potential Loyalists,UK,Finance,Premium
CUST_000002,21,47,13688.19,3,5,5,355,13,Potential Loyalists,Canada,Education,Professional
CUST_000003,21,45,1906.28,3,5,3,353,11,Potential Loyalists,USA,Real Estate,Basic
CUST_000004,21,46,18881.45,3,5,5,355,13,Potential Loyalists,USA,Finance,Enterprise
CUST_000005,1401,3,748.56,1,2,2,122,5,Hibernating,France,Manufacturing,Professional
CUST_000006,23,47,97030.95,2,5,5,255,12,At Risk,USA,Healthcare,Premium
CUST_000007,22,48,4243.63,3,5,4,354,12,Potential Loyalists,Japan,Energy,Basic
CUST_000008,23,46,1495.58,2,5,3,253,10,At Risk,USA,Energy,Basic
CUST_000009,20,48,13528.62,3,5,5,355,13,Potential Loyalists,UK,Education,Professional
CUST_000010,18,47,1815.41,3,5,3,353,11,Potential Loyalists,UK,Consulting,Basic
CUST_000011,12,45,1798.1,4,5,3,453,12,Loyal Customers,France,Media,Basic
CUST_000012,1270,6,541.4,1,2,2,122,5,Hibernating,USA,Finance,Basic
CUST_000013,7,46,40493.34,5,5,5,555,15,Champions,Germany,Consulting,Enterprise
CUST_000014,4,49,12103.19,5,5,5,555,15,Champions,USA,Finance,Professional
CUST_000015,28,46,2688.97,2,5,4,254,11,At Risk,France,Technology,Basic
CUST_000016,1082,13,1250.42,1,4,3,143,8,At Risk,France,Retail,Basic
CUST_000017,1048,14,21537.99,1,4,5,145,10,At Risk,USA,Consulting,Premium
CUST_000018,25,45,20864.08,2,5,5,255,12,At Risk,India,Real Estate,Enterprise
CUST_000019,24,46,2322.59,2,5,4,254,11,At Risk,UK,Retail,Basic
CUST_000020,22,46,13259.3,3,5,5,355,13,Potential Loyalists,Canada,Real Estate,Professional
CUST_000021,712,25,4424.32,1,5,4,154,10,At Risk,USA,Retail,Professional
CUST_000022,950,15,14900.61,1,4,5,145,10,At Risk,USA,Consulting,Enterprise
CUST_000023,16,44,11376.79,3,5,5,355,13,Potential Loyalists,USA,Real Estate,Professional
CUST_000024,14,45,8965.28,4,5,5,455,14,Champions,UK,Media,Professional
CUST_000025,13,45,4389.95,4,5,4,454,13,Champions,Germany,Media,Basic
CUST_000026,1210,7,5865.99,1,3,5,135,9,At Risk,India,Retail,Enterprise
CUST_000027,5,44,39664.63,5,5,5,555,15,Champions,India,Finance,Enterprise
CUST_000028,1265,5,3635.73,1,2,4,124,7,Hibernating,France,Technology,Enterprise
