date,forecast,lower_bound,upper_bound,model
2025-02-01,134186.70915187453,-124409.28943456628,392782.70773831534,ARIMA
2025-03-01,801048.8521153823,485170.1179610966,1116927.586269668,ARIMA
2025-04-01,669469.3103723143,346619.78357171646,992318.8371729122,ARIMA
2025-05-01,604195.0984934989,280285.2805360768,928104.916450921,ARIMA
2025-06-01,571813.7519714058,239936.69261795352,903690.8113248581,ARIMA
2025-07-01,555749.95629463,210502.44748101133,900997.4651082486,ARIMA
2025-08-01,547781.0001127385,186482.37619037036,909079.6240351065,ARIMA
2025-09-01,543827.7462301137,165531.84830168006,922123.6441585473,ARIMA
2025-10-01,541866.6090493118,146502.62666943663,937230.591429187,ARIMA
2025-11-01,540893.7246467118,128779.93925393879,953007.5100394848,ARIMA
2025-12-01,540411.0944308921,112015.09169828962,968807.0971634947,ARIMA
2026-01-01,540171.6703794842,96000.1322506959,984343.2085082724,ARIMA
