customer_id,signup_date,country,industry,subscription_type,monthly_fee,total_transactions,total_revenue,avg_transaction,std_transaction,first_transaction,last_transaction,successful_transactions,failed_transactions,customer_tenure_days,days_since_last_transaction,transaction_frequency,payment_failure_rate,avg_monthly_revenue,is_churned,customer_ltv
CUST_000001,2021-01-01,UK,Finance,Premium,2901.34,49,144628.01,2951.5920408163265,315.1850944549593,2021-01-01,2024-12-12,46.0,1.0,1462,21,1.0047846889952154,0.02,2908.06990616622,0,144628.01
CUST_000002,2021-01-01,Canada,Education,Professional,288.53,49,13688.27,279.3524489795918,82.93597516886676,2021-01-02,2024-12-12,47.0,0.0,1462,21,1.0047846889952154,0.0,275.2333109919571,0,13688.27
CUST_000003,2021-01-01,USA,Real Estate,Basic,42.44,49,1989.73,40.60673469387755,12.267207877738368,2021-01-03,2024-12-12,45.0,2.0,1462,21,1.0047846889952154,0.04,40.007975871313675,0,1989.73
CUST_000004,2021-01-01,USA,Finance,Enterprise,407.46,49,20174.03,411.71489795918365,38.79381883337693,2021-01-03,2024-12-12,46.0,1.0,1462,21,1.0047846889952154,0.02,405.6440348525469,0,20174.03
CUST_000005,2021-01-01,France,Manufacturing,Professional,267.89,3,748.56,249.51999999999998,13.266246643267241,2020-12-31,2021-03-03,3.0,0.0,1462,1401,0.06151742993848257,0.0,15.051474530831097,1,748.56
CUST_000006,2021-01-01,USA,Healthcare,Premium,2014.38,49,97080.35,1981.2316326530613,612.8409091726922,2020-12-30,2024-12-10,47.0,1.0,1462,23,1.0047846889952154,0.02,1952.0177613941019,0,97080.35
CUST_000007,2021-01-01,Japan,Energy,Basic,87.46,49,4331.1,88.38979591836735,9.435355604011418,2021-01-01,2024-12-11,48.0,1.0,1462,22,1.0047846889952154,0.02,87.08646112600536,0,4331.1
CUST_000008,2021-01-01,USA,Energy,Basic,31.64,49,1584.76,32.34204081632653,3.3767125158896754,2020-12-31,2024-12-10,46.0,1.0,1462,23,1.0047846889952154,0.02,31.865147453083107,0,1584.76
CUST_000009,2021-01-04,UK,Education,Professional,274.28,49,13267.99,270.77530612244897,85.579998176707,2021-01-05,2024-12-13,48.0,0.0,1459,20,1.0068493150684932,0.0,267.3201477501679,0,13267.99
CUST_000010,2021-01-04,UK,Consulting,Basic,38.17,49,1887.8700000000001,38.527959183673474,3.6562463558909686,2021-01-02,2024-12-15,47.0,1.0,1459,18,1.0068493150684932,0.02,38.036333109469446,0,1887.8700000000001
