customer_id,country,industry,subscription_type,monthly_fee,total_revenue,churn_probability,churn_risk_level,value_score,priority_rank,urgency,action_timeline,contact_channel,primary_action,secondary_action,specific_recommendation,recommended_discount_pct,action_1,action_2,action_3,action_4
CUST_000153,Canada,Technology,Premium,2661.78,64680.54,1.0,High,40.61,1,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 515 days inactive,24,Schedule VIP retention call with account manager,Offer 24% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000338,UK,Retail,Premium,2432.84,48992.5,0.9999999999996488,High,31.85,2,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 384 days inactive,23,Schedule VIP retention call with account manager,Offer 23% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000236,USA,Finance,Premium,2047.46,41603.93,0.9999999999999998,High,31.01,3,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 453 days inactive,23,Schedule VIP retention call with account manager,Offer 23% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000250,Singapore,Real Estate,Premium,2823.25,39091.68,1.0,High,29.29,4,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000157,USA,Energy,Premium,2788.85,31504.2,1.0,High,28.12,5,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000017,USA,Consulting,Premium,1568.86,21537.99,1.0,High,27.97,6,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1048 days inactive,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000022,USA,Consulting,Enterprise,988.11,14885.48,1.0,High,25.75,7,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 950 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000710,Germany,Finance,Premium,2838.79,43390.49,0.9995543479296698,High,25.26,8,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 159 days inactive,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000486,France,Finance,Premium,2580.0,36591.82,0.999999999999982,High,25.03,9,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 400 days inactive,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000021,USA,Retail,Professional,172.57,4424.32,1.0,High,22.68,10,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 712 days inactive,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000061,Australia,Technology,Enterprise,729.37,9397.63,1.0,High,22.62,11,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 992 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000057,Brazil,Real Estate,Enterprise,716.72,8563.119999999999,1.0,High,22.5,12,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1042 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000035,USA,Media,Premium,1182.43,8044.549999999999,1.0,High,22.4,13,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000047,Australia,Real Estate,Professional,188.72,4958.89,1.0,High,22.27,14,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 665 days inactive,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000079,Canada,Finance,Enterprise,343.17,6884.36,1.0,High,21.88,15,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 757 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000070,UK,Education,Premium,1506.3,8771.17,1.0,High,21.75,16,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1188 days inactive,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000026,India,Retail,Enterprise,859.88,5096.02,1.0,High,21.69,17,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1210 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000110,France,Finance,Enterprise,893.07,9850.1,1.0,High,21.57,18,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 970 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000551,USA,Finance,Premium,2265.67,28153.65,0.999999999906818,High,21.49,19,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 303 days inactive,22,Schedule VIP retention call with account manager,Offer 22% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000048,Australia,Technology,Professional,280.17,4257.7,1.0,High,21.38,20,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000125,India,Retail,Enterprise,996.46,9975.52,1.0,High,21.27,21,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 982 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000028,France,Technology,Enterprise,747.83,4356.98,1.0,High,21.22,22,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000049,Germany,Technology,Professional,150.18,3065.34,1.0,High,21.2,23,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 809 days inactive,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000016,France,Retail,Basic,96.87,1250.42,1.0,High,20.94,24,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1082 days inactive,22,Send win-back email with special offer,Offer 22% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000058,France,Technology,Enterprise,741.37,4387.18,1.0,High,20.77,25,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1158 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000012,USA,Finance,Basic,87.19,790.62,1.0,High,20.69,26,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,22,Send win-back email with special offer,Offer 22% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000036,Australia,Retail,Basic,86.17,1285.05,1.0,High,20.57,27,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 981 days inactive,22,Send win-back email with special offer,Offer 22% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000005,France,Manufacturing,Professional,267.89,748.56,1.0,High,20.44,28,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1401 days inactive,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000211,Australia,Consulting,Enterprise,775.28,11288.43,1.0,High,20.32,29,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 726 days inactive,22,Escalate to enterprise success team immediately,Offer 22% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000094,Australia,Real Estate,Professional,172.47,3285.37,1.0,High,20.27,30,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 763 days inactive,22,Initiate proactive outreach call,Offer 22% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000077,USA,Real Estate,Professional,295.16,2648.03,1.0,High,19.81,31,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1029 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000090,India,Education,Basic,59.59,1250.15,1.0,High,19.76,32,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 706 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000052,UK,Healthcare,Professional,254.23,1325.83,1.0,High,19.71,33,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000066,UK,Energy,Basic,67.09,866.44,1.0,High,19.63,34,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 990 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000042,UK,Education,Basic,94.16,368.34,1.0,High,19.47,35,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1304 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000064,Australia,Healthcare,Enterprise,665.44,1943.92,1.0,High,19.37,36,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 1290 days inactive,21,Escalate to enterprise success team immediately,Offer 21% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000130,France,Real Estate,Basic,98.81,2170.02,1.0,High,19.32,37,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 612 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000116,Australia,Education,Professional,173.4,2591.11,1.0,High,19.31,38,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000407,USA,Consulting,Enterprise,806.01,14871.39,0.999999999997915,High,18.93,39,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 363 days inactive,21,Escalate to enterprise success team immediately,Offer 21% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000128,USA,Finance,Professional,269.57,2969.71,1.0,High,18.88,40,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000133,Japan,Manufacturing,Professional,277.27,3314.38,1.0,High,18.88,41,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 901 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000075,USA,Education,Basic,67.22,391.94,1.0,High,18.8,42,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000178,USA,Education,Professional,220.33,4108.15,1.0,High,18.76,43,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 656 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000175,UK,Healthcare,Professional,236.72,3823.82,1.0,High,18.67,44,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 731 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000256,France,Manufacturing,Professional,253.23,6214.88,0.9999999999871004,High,18.59,45,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 364 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000232,Canada,Technology,Professional,218.38,4912.71,0.9999999999999504,High,18.51,46,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 428 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000203,UK,Media,Enterprise,392.75,5326.33,1.0,High,18.49,47,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 710 days inactive,21,Escalate to enterprise success team immediately,Offer 21% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000254,Brazil,Manufacturing,Enterprise,689.66,8252.03,1.0,High,18.49,48,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 667 days inactive,21,Escalate to enterprise success team immediately,Offer 21% discount + dedicated support,Schedule executive business review meeting,Provide custom integration support package
CUST_000080,USA,Real Estate,Professional,106.4,305.03,1.0,High,18.45,49,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000150,France,Energy,Basic,73.79,1407.0,1.0,High,18.43,50,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 666 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000093,USA,Finance,Professional,198.24,762.05,1.0,High,18.38,51,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000163,India,Consulting,Professional,129.84,2176.37,1.0,High,18.28,52,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 745 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000506,USA,Manufacturing,Premium,1888.47,18878.34,1.0,High,18.14,53,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 492 days inactive,21,Schedule VIP retention call with account manager,Offer 21% discount on annual renewal,Provide complimentary premium support for 3 months,Invite to exclusive executive roundtable event
CUST_000151,USA,Finance,Professional,252.56,2543.78,1.0,High,18.11,54,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 935 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000132,USA,Healthcare,Professional,209.0,1693.07,1.0,High,18.09,55,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Address payment issues - offer alternative payment methods,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
CUST_000170,Germany,Media,Basic,72.27,1242.9,1.0,High,18.08,56,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 645 days inactive,21,Send win-back email with special offer,Offer 21% discount + free tier upgrade trial,Provide onboarding assistance call,Share success stories from similar customers
CUST_000213,USA,Healthcare,Professional,177.78,3510.02,1.0,High,18.07,57,Critical,Within 24-48 hours,Phone + Email,Immediate Retention Call,Exclusive Discount Offer,Re-engagement campaign - 542 days inactive,21,Initiate proactive outreach call,Offer 21% discount on next renewal,Provide free upgrade trial to Enterprise tier,Send personalized value demonstration
