cohort,-1,0,1,2,3,4,5,6,7,8,9,10
2021-01,100.0,500.0,466.6666666666667,566.6666666666667,466.6666666666667,533.3333333333333,500.0,500.0,566.6666666666667,500.0,500.0,533.3333333333333
2021-02,100.0,900.0,1300.0,1300.0,1200.0,1400.0,1500.0,1300.0,1200.0,1200.0,1100.0,1100.0
2021-03,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-04,100.0,1300.0,1300.0,800.0,1300.0,1200.0,1100.0,1000.0,1300.0,1100.0,900.0,1200.0
2021-05,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-06,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-07,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-08,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-09,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-10,100.0,1700.0,1400.0,1600.0,1600.0,1800.0,1900.0,1400.0,1600.0,1600.0,1200.0,1400.0
2021-11,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2021-12,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-01,100.0,2300.0,1900.0,2400.0,2400.0,2400.0,2500.0,2200.0,2200.0,2000.0,2200.0,2400.0
2022-02,100.0,1200.0,1500.0,1400.0,1300.0,1400.0,1300.0,1400.0,1400.0,1400.0,1500.0,1400.0
2022-03,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-04,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-05,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-06,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-07,100.0,2000.0,2100.0,2000.0,1900.0,2000.0,1900.0,1800.0,1600.0,1800.0,1800.0,1800.0
2022-08,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-09,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-10,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2022-11,100.0,2400.0,2200.0,2400.0,2200.0,2400.0,2300.0,2400.0,2300.0,2200.0,2100.0,1900.0
2022-12,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-01,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-02,100.0,2500.0,2500.0,2600.0,2400.0,2500.0,2300.0,2400.0,2100.0,2000.0,2100.0,2000.0
2023-03,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-04,100.0,1266.6666666666665,1200.0,1233.3333333333335,1300.0,1233.3333333333335,1200.0,1300.0,1066.6666666666665,1133.3333333333335,1066.6666666666665,1100.0
2023-05,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-06,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-07,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-08,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-09,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-10,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2023-11,100.0,5500.0,6000.0,5700.0,5100.0,5500.0,5200.0,5400.0,5300.0,5100.0,5300.0,4700.0
2023-12,100.0,2000.0,2100.0,2200.0,2200.0,2250.0,1950.0,2050.0,2100.0,2000.0,1900.0,1900.0
2024-01,100.0,5000.0,5000.0,5100.0,5400.0,4600.0,5100.0,5000.0,5000.0,5200.0,5300.0,4900.0
2024-02,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2024-03,100.0,3300.0,3350.0,3350.0,3350.0,3250.0,3250.0,3250.0,3250.0,3050.0,3200.0,150.0
2024-04,100.0,3550.0,3550.0,3200.0,3500.0,3450.0,3250.0,3350.0,3150.0,3250.0,50.0,0.0
2024-05,100.0,6100.0,6700.0,6600.0,6800.0,6500.0,6400.0,6700.0,6700.0,200.0,0.0,0.0
2024-06,,inf,inf,inf,inf,inf,inf,inf,inf,,,
2024-07,100.0,4650.0,4850.0,4950.0,5150.0,4850.0,4500.0,200.0,0.0,0.0,0.0,0.0
2024-08,100.0,3050.0,3000.0,2975.0,2900.0,3075.0,50.0,0.0,0.0,0.0,0.0,0.0
2024-09,100.0,6000.0,5950.0,5950.0,6200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,100.0,7700.0,7550.0,7600.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,100.0,3333.3333333333335,3450.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,100.0,5300.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
