customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,rfm_segment,country,industry,subscription_type,signup_date,cluster,behavioral_segment
CUST_000001,22,46,136196.48,3,5,5,355,13,Loyal Customers,UK,Finance,Premium,2021-01-01,1,VIP Elite
CUST_000002,22,47,13688.19,3,5,5,355,13,Loyal Customers,Canada,Education,Professional,2021-01-01,1,VIP Elite
CUST_000003,22,45,1906.28,3,5,3,353,11,Promising,USA,Real Estate,Basic,2021-01-01,1,VIP Elite
CUST_000004,22,46,18881.45,3,5,5,355,13,Loyal Customers,USA,Finance,Enterprise,2021-01-01,1,VIP Elite
CUST_000005,1402,3,748.56,1,2,2,122,5,Hibernating,France,Manufacturing,Professional,2021-01-01,2,Growth Potential
CUST_000006,24,47,97030.95,2,5,5,255,12,At Risk,USA,Healthcare,Premium,2021-01-01,1,VIP Elite
CUST_000007,23,48,4243.63,3,5,4,354,12,Loyal Customers,Japan,Energy,Basic,2021-01-01,1,VIP Elite
CUST_000008,24,46,1495.58,2,5,3,253,10,At Risk,USA,Energy,Basic,2021-01-01,1,VIP Elite
CUST_000009,21,48,13528.62,3,5,5,355,13,Loyal Customers,UK,Education,Professional,2021-01-04,1,VIP Elite
CUST_000010,19,47,1815.41,3,5,3,353,11,Promising,UK,Consulting,Basic,2021-01-04,1,VIP Elite
CUST_000011,13,45,1798.1,4,5,3,453,12,Potential Loyalists,France,Media,Basic,2021-01-10,1,VIP Elite
CUST_000012,1271,6,541.4,1,2,2,122,5,Hibernating,USA,Finance,Basic,2021-01-11,2,Growth Potential
CUST_000013,8,46,40493.34,5,5,5,555,15,Champions,Germany,Consulting,Enterprise,2021-01-15,1,VIP Elite
CUST_000014,5,49,12103.19,5,5,5,555,15,Champions,USA,Finance,Professional,2021-01-20,1,VIP Elite
CUST_000015,29,46,2688.97,2,5,4,254,11,At Risk,France,Technology,Basic,2021-01-23,1,VIP Elite
CUST_000016,1083,13,1250.42,1,4,3,143,8,At Risk,France,Retail,Basic,2021-01-23,2,Growth Potential
CUST_000017,1049,14,21537.99,1,4,5,145,10,At Risk,USA,Consulting,Premium,2021-01-27,2,Growth Potential
CUST_000018,26,45,20864.08,2,5,5,255,12,At Risk,India,Real Estate,Enterprise,2021-01-28,1,VIP Elite
CUST_000019,25,46,2322.59,2,5,4,254,11,At Risk,UK,Retail,Basic,2021-01-30,1,VIP Elite
CUST_000020,23,46,13259.3,3,5,5,355,13,Loyal Customers,Canada,Real Estate,Professional,2021-02-01,1,VIP Elite
CUST_000021,713,25,4424.32,1,5,4,154,10,At Risk,USA,Retail,Professional,2021-02-01,2,Growth Potential
CUST_000022,951,15,14900.61,1,4,5,145,10,At Risk,USA,Consulting,Enterprise,2021-02-04,2,Growth Potential
CUST_000023,17,44,11376.79,3,5,5,355,13,Loyal Customers,USA,Real Estate,Professional,2021-02-07,1,VIP Elite
CUST_000024,15,45,8965.28,4,5,5,455,14,Champions,UK,Media,Professional,2021-02-08,1,VIP Elite
CUST_000025,14,45,4389.95,4,5,4,454,13,Champions,Germany,Media,Basic,2021-02-11,1,VIP Elite
CUST_000026,1211,7,5865.99,1,3,5,135,9,At Risk,India,Retail,Enterprise,2021-02-12,2,Growth Potential
CUST_000027,6,44,39664.63,5,5,5,555,15,Champions,India,Finance,Enterprise,2021-02-18,1,VIP Elite
CUST_000028,1266,5,3635.73,1,2,4,124,7,Hibernating,France,Technology,Enterprise,2021-02-19,2,Growth Potential
CUST_000029,1,44,3058.56,5,5,4,554,14,Champions,USA,Education,Basic,2021-02-20,1,VIP Elite
CUST_000030,1,42,3318.22,5,5,4,554,14,Champions,USA,Healthcare,Basic,2021-02-20,1,VIP Elite
CUST_000031,61,45,4006.73,1,5,4,154,10,At Risk,UK,Energy,Basic,2021-02-22,1,VIP Elite
CUST_000032,28,44,1562.09,2,5,3,253,10,At Risk,Japan,Manufacturing,Basic,2021-02-23,1,VIP Elite
CUST_000033,26,41,6359.93,2,5,5,255,12,At Risk,USA,Finance,Professional,2021-02-27,1,VIP Elite
CUST_000034,25,45,18146.01,2,5,5,255,12,At Risk,USA,Energy,Enterprise,2021-02-28,1,VIP Elite
CUST_000035,1284,5,5785.95,1,2,5,125,8,Hibernating,USA,Media,Premium,2021-03-03,2,Growth Potential
CUST_000036,982,15,1285.05,1,4,3,143,8,At Risk,Australia,Retail,Basic,2021-03-03,2,Growth Potential
CUST_000037,20,45,44326.72,3,5,5,355,13,Loyal Customers,USA,Education,Enterprise,2021-03-05,1,VIP Elite
CUST_000038,20,45,4987.13,3,5,5,355,13,Loyal Customers,Canada,Media,Professional,2021-03-07,1,VIP Elite
CUST_000039,15,43,2411.74,4,5,4,454,13,Champions,Australia,Energy,Basic,2021-03-08,1,VIP Elite
CUST_000040,16,43,4284.1,4,5,4,454,13,Champions,UK,Media,Basic,2021-03-08,1,VIP Elite
CUST_000041,47,41,6122.62,1,5,5,155,11,At Risk,Japan,Education,Professional,2021-03-09,1,VIP Elite
CUST_000042,1305,4,368.34,1,2,2,122,5,Hibernating,UK,Education,Basic,2021-03-09,2,Growth Potential
