customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,rfm_segment,behavioral_segment,country,industry,subscription_type,revenue_formatted
CUST_000001,22,46,136196.48,3,5,5,355,13,Loyal Customers,VIP Elite,UK,Finance,Premium,"$136,196.48"
CUST_000002,22,47,13688.19,3,5,5,355,13,Loyal Customers,VIP Elite,Canada,Education,Professional,"$13,688.19"
CUST_000003,22,45,1906.28,3,5,3,353,11,Promising,VIP Elite,USA,Real Estate,Basic,"$1,906.28"
CUST_000004,22,46,18881.45,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Finance,Enterprise,"$18,881.45"
CUST_000005,1402,3,748.56,1,2,2,122,5,Hibernating,Growth Potential,France,Manufacturing,Professional,$748.56
CUST_000006,24,47,97030.95,2,5,5,255,12,At Risk,VIP Elite,USA,Healthcare,Premium,"$97,030.95"
CUST_000007,23,48,4243.63,3,5,4,354,12,Loyal Customers,VIP Elite,Japan,Energy,Basic,"$4,243.63"
CUST_000008,24,46,1495.58,2,5,3,253,10,At Risk,VIP Elite,USA,Energy,Basic,"$1,495.58"
CUST_000009,21,48,13528.62,3,5,5,355,13,Loyal Customers,VIP Elite,UK,Education,Professional,"$13,528.62"
CUST_000010,19,47,1815.41,3,5,3,353,11,Promising,VIP Elite,UK,Consulting,Basic,"$1,815.41"
CUST_000011,13,45,1798.1,4,5,3,453,12,Potential Loyalists,VIP Elite,France,Media,Basic,"$1,798.10"
CUST_000012,1271,6,541.4,1,2,2,122,5,Hibernating,Growth Potential,USA,Finance,Basic,$541.40
CUST_000013,8,46,40493.34,5,5,5,555,15,Champions,VIP Elite,Germany,Consulting,Enterprise,"$40,493.34"
CUST_000014,5,49,12103.19,5,5,5,555,15,Champions,VIP Elite,USA,Finance,Professional,"$12,103.19"
CUST_000015,29,46,2688.97,2,5,4,254,11,At Risk,VIP Elite,France,Technology,Basic,"$2,688.97"
CUST_000016,1083,13,1250.42,1,4,3,143,8,At Risk,Growth Potential,France,Retail,Basic,"$1,250.42"
CUST_000017,1049,14,21537.99,1,4,5,145,10,At Risk,Growth Potential,USA,Consulting,Premium,"$21,537.99"
CUST_000018,26,45,20864.08,2,5,5,255,12,At Risk,VIP Elite,India,Real Estate,Enterprise,"$20,864.08"
CUST_000019,25,46,2322.59,2,5,4,254,11,At Risk,VIP Elite,UK,Retail,Basic,"$2,322.59"
CUST_000020,23,46,13259.3,3,5,5,355,13,Loyal Customers,VIP Elite,Canada,Real Estate,Professional,"$13,259.30"
CUST_000021,713,25,4424.32,1,5,4,154,10,At Risk,Growth Potential,USA,Retail,Professional,"$4,424.32"
CUST_000022,951,15,14900.61,1,4,5,145,10,At Risk,Growth Potential,USA,Consulting,Enterprise,"$14,900.61"
CUST_000023,17,44,11376.79,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Real Estate,Professional,"$11,376.79"
CUST_000024,15,45,8965.28,4,5,5,455,14,Champions,VIP Elite,UK,Media,Professional,"$8,965.28"
CUST_000025,14,45,4389.95,4,5,4,454,13,Champions,VIP Elite,Germany,Media,Basic,"$4,389.95"
CUST_000026,1211,7,5865.99,1,3,5,135,9,At Risk,Growth Potential,India,Retail,Enterprise,"$5,865.99"
CUST_000027,6,44,39664.63,5,5,5,555,15,Champions,VIP Elite,India,Finance,Enterprise,"$39,664.63"
CUST_000028,1266,5,3635.73,1,2,4,124,7,Hibernating,Growth Potential,France,Technology,Enterprise,"$3,635.73"
CUST_000029,1,44,3058.56,5,5,4,554,14,Champions,VIP Elite,USA,Education,Basic,"$3,058.56"
CUST_000030,1,42,3318.22,5,5,4,554,14,Champions,VIP Elite,USA,Healthcare,Basic,"$3,318.22"
CUST_000031,61,45,4006.73,1,5,4,154,10,At Risk,VIP Elite,UK,Energy,Basic,"$4,006.73"
CUST_000032,28,44,1562.09,2,5,3,253,10,At Risk,VIP Elite,Japan,Manufacturing,Basic,"$1,562.09"
CUST_000033,26,41,6359.93,2,5,5,255,12,At Risk,VIP Elite,USA,Finance,Professional,"$6,359.93"
CUST_000034,25,45,18146.01,2,5,5,255,12,At Risk,VIP Elite,USA,Energy,Enterprise,"$18,146.01"
CUST_000035,1284,5,5785.95,1,2,5,125,8,Hibernating,Growth Potential,USA,Media,Premium,"$5,785.95"
CUST_000036,982,15,1285.05,1,4,3,143,8,At Risk,Growth Potential,Australia,Retail,Basic,"$1,285.05"
CUST_000037,20,45,44326.72,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Education,Enterprise,"$44,326.72"
