customer_id,retention_action,urgency,recommended_discount,specific_action
CUST_000001,Loyalty Rewards Program,Normal,8,Enroll in VIP loyalty rewards program
CUST_000002,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000003,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000004,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000005,Immediate Retention Call,Critical,22,Re-engagement campaign - 1401 days inactive
CUST_000006,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000007,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000008,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000009,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000010,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000011,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000012,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000013,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000014,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000015,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000016,Immediate Retention Call,Critical,22,Re-engagement campaign - 1082 days inactive
CUST_000017,Immediate Retention Call,Critical,22,Re-engagement campaign - 1048 days inactive
CUST_000018,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000019,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000020,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000021,Immediate Retention Call,Critical,22,Re-engagement campaign - 712 days inactive
CUST_000022,Immediate Retention Call,Critical,22,Re-engagement campaign - 950 days inactive
CUST_000023,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000024,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000025,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000026,Immediate Retention Call,Critical,22,Re-engagement campaign - 1210 days inactive
CUST_000027,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000028,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000029,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000030,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000031,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000032,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000033,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000034,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000035,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000036,Immediate Retention Call,Critical,22,Re-engagement campaign - 981 days inactive
CUST_000037,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000038,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000039,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000040,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000041,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000042,Immediate Retention Call,Critical,21,Re-engagement campaign - 1304 days inactive
CUST_000043,Loyalty Rewards Program,Normal,6,Address payment issues - offer alternative payment methods
CUST_000044,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000045,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000046,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000047,Immediate Retention Call,Critical,22,Re-engagement campaign - 665 days inactive
CUST_000048,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000049,Immediate Retention Call,Critical,22,Re-engagement campaign - 809 days inactive
CUST_000050,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000051,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000052,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000053,Loyalty Rewards Program,Normal,6,Address payment issues - offer alternative payment methods
CUST_000054,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000055,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000056,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000057,Immediate Retention Call,Critical,22,Re-engagement campaign - 1042 days inactive
CUST_000058,Immediate Retention Call,Critical,22,Re-engagement campaign - 1158 days inactive
CUST_000059,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000060,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000061,Immediate Retention Call,Critical,22,Re-engagement campaign - 992 days inactive
CUST_000062,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000063,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000064,Immediate Retention Call,Critical,21,Re-engagement campaign - 1290 days inactive
CUST_000065,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000066,Immediate Retention Call,Critical,21,Re-engagement campaign - 990 days inactive
CUST_000067,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000068,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000069,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000070,Immediate Retention Call,Critical,22,Re-engagement campaign - 1188 days inactive
CUST_000071,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000072,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000073,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000074,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000075,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000076,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000077,Immediate Retention Call,Critical,21,Re-engagement campaign - 1029 days inactive
CUST_000078,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000079,Immediate Retention Call,Critical,22,Re-engagement campaign - 757 days inactive
CUST_000080,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000081,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000082,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000083,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000084,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000085,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000086,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000087,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000088,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000089,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000090,Immediate Retention Call,Critical,21,Re-engagement campaign - 706 days inactive
CUST_000091,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000092,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000093,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000094,Immediate Retention Call,Critical,22,Re-engagement campaign - 763 days inactive
CUST_000095,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000096,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000097,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000098,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000099,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000100,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000101,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000102,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000103,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000104,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000105,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000106,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000107,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000108,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000109,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000110,Immediate Retention Call,Critical,22,Re-engagement campaign - 970 days inactive
CUST_000111,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000112,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000113,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000114,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
