customer_id,signup_date,country,industry,subscription_type,monthly_fee,total_revenue,customer_tenure_days,is_churned,churn_probability,churn_risk_level,retention_action,urgency,recommended_discount_pct,specific_recommendation,gross_profit,profit_margin,profitability_tier,total_cost,customer_segment,behavioral_segment,R_score,F_score,M_score,RFM_total,signup_cohort,signup_year,signup_quarter,lifetime_months,customer_value_tier
CUST_000001,2021-01-01,UK,Finance,Premium,2901.34,144628.01,1462,0,0.0007121872612728,Low,Loyalty Rewards Program,Normal,8,Enroll in VIP loyalty rewards program,101027.98608,74.17811831847636,High Profit,35168.49392,Loyal Customers,VIP Elite,3.0,5.0,5.0,13.0,2021-01,2021,1,48.7,Platinum
CUST_000002,2021-01-01,Canada,Education,Professional,288.53,13688.27,1462,0,0.0010658563982259,Low,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program,9698.09449,70.85008675361752,High Profit,3990.095510000001,Loyal Customers,VIP Elite,3.0,5.0,5.0,13.0,2021-01,2021,1,48.7,Platinum
CUST_000003,2021-01-01,USA,Real Estate,Basic,42.44,1989.73,1462,0,0.003479765759153,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,1151.5752133333333,60.40955228682739,High Profit,754.7047866666667,Promising,VIP Elite,3.0,5.0,3.0,11.0,2021-01,2021,1,48.7,Gold
CUST_000004,2021-01-01,USA,Finance,Enterprise,407.46,20174.03,1462,0,0.0022433535324455,Low,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program,12383.764616666667,65.58693647292272,High Profit,6497.685383333333,Loyal Customers,VIP Elite,3.0,5.0,5.0,13.0,2021-01,2021,1,48.7,Platinum
CUST_000005,2021-01-01,France,Manufacturing,Professional,267.89,748.56,1462,1,1.0,High,Immediate Retention Call,Critical,22,Re-engagement campaign - 1401 days inactive,-255.3602400000001,-34.11352997755692,Loss-Making,1003.92024,Hibernating,Growth Potential,1.0,2.0,2.0,5.0,2021-01,2021,1,48.7,Silver
CUST_000006,2021-01-01,USA,Healthcare,Premium,2014.38,97080.35,1462,0,0.0010411280916851,Low,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program,70831.36244999999,72.99873128110154,High Profit,26199.587550000004,At Risk,VIP Elite,2.0,5.0,5.0,12.0,2021-01,2021,1,48.7,Platinum
CUST_000007,2021-01-01,Japan,Energy,Basic,87.46,4331.1,1462,0,0.0026956621778993,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,2953.6720633333334,69.60248804286267,High Profit,1289.957936666667,Loyal Customers,VIP Elite,3.0,5.0,4.0,12.0,2021-01,2021,1,48.7,Platinum
CUST_000008,2021-01-01,USA,Energy,Basic,31.64,1584.76,1462,0,0.0042545389511155,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,834.9255133333332,55.82620209773689,High Profit,660.6544866666667,At Risk,VIP Elite,2.0,5.0,3.0,10.0,2021-01,2021,1,48.7,Gold
CUST_000009,2021-01-04,UK,Education,Professional,274.28,13267.99,1459,0,0.0008217857288532,Low,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program,9576.56602,70.78745666594227,High Profit,3952.05398,Loyal Customers,VIP Elite,3.0,5.0,5.0,13.0,2021-01,2021,1,48.6,Platinum
CUST_000010,2021-01-04,UK,Consulting,Basic,38.17,1887.87,1459,0,0.0027861071019683,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,1082.0144433333337,59.601657109596914,High Profit,733.3955566666666,Promising,VIP Elite,3.0,5.0,3.0,11.0,2021-01,2021,1,48.6,Gold
CUST_000011,2021-01-10,France,Media,Basic,39.8,1881.04,1453,0,0.0016183824628685,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,1069.6684333333333,59.48881782622397,High Profit,728.4315666666666,Potential Loyalists,VIP Elite,4.0,5.0,3.0,12.0,2021-01,2021,1,48.4,Gold
CUST_000012,2021-01-11,USA,Finance,Basic,87.19,790.62,1452,1,1.0,High,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods,120.9194,22.334577022534173,Medium Profit,420.4806,Hibernating,Growth Potential,1.0,2.0,2.0,5.0,2021-01,2021,1,48.4,Silver
CUST_000013,2021-01-15,Germany,Consulting,Enterprise,865.33,42856.56,1448,0,0.0008513281073623,Low,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program,29065.19847333333,71.77772560458912,High Profit,11428.141526666666,Champions,VIP Elite,5.0,5.0,5.0,15.0,2021-01,2021,1,48.3,Platinum
CUST_000014,2021-01-20,USA,Finance,Professional,243.24,12103.19,1443,0,0.0001330950547607,Low,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program,8485.55949,70.11010725271602,High Profit,3617.63051,Champions,VIP Elite,5.0,5.0,5.0,15.0,2021-01,2021,1,48.1,Platinum
CUST_000015,2021-01-23,France,Technology,Basic,57.76,2656.54,1440,0,0.0030427933702851,Low,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program,1759.19587,65.42266629973558,High Profit,929.77413,At Risk,VIP Elite,2.0,5.0,4.0,11.0,2021-01,2021,1,48.0,Gold
CUST_000016,2021-01-23,France,Retail,Basic,96.87,1250.42,1440,1,1.0,High,Immediate Retention Call,Critical,22,Re-engagement campaign - 1082 days inactive,667.5738200000001,53.38796724300635,High Profit,582.84618,At Risk,Growth Potential,1.0,4.0,3.0,8.0,2021-01,2021,1,48.0,Silver
